Transaction ID,Date,Time,Issue Type,Description,Amount,Sender UPI ID,Receiver UPI ID,Bank (Sender),Bank (Receiver),Resolution
TXN212151,2024-05-30,10:13:03,Transaction Timed Out,Transaction exceeded the time limit,3316.44,@user4577,@user1844,State Bank of India,Axis Bank,Transaction pending - retry later
TXN240861,2024-10-01,01:42:28,Transaction Timed Out,Transaction exceeded the time limit,1213.04,@user8103,@user6371,Bank of Baroda,Bank of Baroda,Transaction pending - retry later
TXN137654,2024-05-29,09:46:54,Network Error,Connectivity issue during transaction,3820.59,@user3831,@user1201,HDFC Bank,Yes Bank,Transaction pending - retry later
TXN731495,2024-10-19,10:30:45,Incorrect MPIN,Invalid MPIN entered by the sender,1227.72,@user9458,@user1720,Axis Bank,ICICI Bank,Transaction failed - incorrect MPIN
TXN855791,2024-12-06,20:01:08,Invalid UPI ID,Entered incorrect receiver UPI ID,805.38,@user4757,@user3819,Yes Bank,Kotak Mahindra Bank,Transaction failed
TXN837957,2024-01-03,23:06:25,Network Error,Connectivity issue during transaction,698.7,@user3467,@user8247,HDFC Bank,State Bank of India,Transaction pending - retry later
TXN665400,2024-02-26,21:22:20,Incorrect MPIN,Invalid MPIN entered by the sender,157.9,@user7962,@user2574,HDFC Bank,State Bank of India,Transaction failed - incorrect MPIN
TXN655913,2024-06-17,22:47:47,Incorrect MPIN,Invalid MPIN entered by the sender,103.41,@user1880,@user2889,SBI,Yes Bank,Transaction failed - incorrect MPIN
TXN856960,2024-10-06,01:44:55,Invalid UPI ID,Entered incorrect receiver UPI ID,2315.14,@user8521,@user9936,State Bank of India,State Bank of India,Transaction failed
TXN956832,2024-11-17,11:55:09,Incorrect MPIN,Invalid MPIN entered by the sender,4349.15,@user5730,@user7727,HDFC Bank,State Bank of India,Transaction failed - incorrect MPIN
TXN865793,2024-09-29,18:27:19,Network Error,Connectivity issue during transaction,2865.45,@user4018,@user5733,HDFC Bank,Kotak Mahindra Bank,Transaction pending - retry later
TXN215867,2024-04-09,19:36:38,Server Error,Technical issue on UPI server side,4746.62,@user6856,@user5788,Bank of Baroda,Bank of Baroda,Transaction on hold - contact bank
TXN284528,2024-09-27,19:50:09,Insufficient Funds,Sender account balance is insufficient,2149.44,@user9017,@user3209,Axis Bank,HDFC Bank,Transaction declined
TXN418616,2024-01-06,17:29:37,Incorrect MPIN,Invalid MPIN entered by the sender,2291.62,@user7961,@user4917,SBI,Bank of Baroda,Transaction failed - incorrect MPIN
TXN734191,2024-10-11,07:08:17,Network Error,Connectivity issue during transaction,1922.64,@user7588,@user9092,Yes Bank,ICICI Bank,Transaction pending - retry later
TXN326849,2024-07-03,14:14:26,Network Error,Connectivity issue during transaction,1685.97,@user1903,@user4287,Bank of Baroda,Yes Bank,Transaction pending - retry later
TXN899819,2024-09-15,09:45:08,Insufficient Funds,Sender account balance is insufficient,697.83,@user4287,@user1278,Kotak Mahindra Bank,HDFC Bank,Transaction declined
TXN190451,2024-02-22,22:14:02,Insufficient Funds,Sender account balance is insufficient,4946.74,@user2177,@user6826,Bank of Baroda,State Bank of India,Transaction declined
TXN137135,2024-02-16,20:49:36,Server Error,Technical issue on UPI server side,691.75,@user8034,@user7783,Kotak Mahindra Bank,ICICI Bank,Transaction on hold - contact bank
TXN652065,2024-08-29,08:09:38,Beneficiary Not Found,Receiver UPI ID is not registered,3563.03,@user9987,@user1525,Yes Bank,Kotak Mahindra Bank,Transaction failed
TXN768103,2024-11-25,01:25:33,Incorrect MPIN,Invalid MPIN entered by the sender,2733.68,@user7279,@user5381,HDFC Bank,Kotak Mahindra Bank,Transaction failed - incorrect MPIN
TXN769623,2024-10-28,11:38:54,Transaction Timed Out,Transaction exceeded the time limit,2979.86,@user9461,@user3734,HDFC Bank,Axis Bank,Transaction pending - retry later
TXN964389,2024-05-16,02:05:59,Beneficiary Not Found,Receiver UPI ID is not registered,2183.66,@user8323,@user8774,Axis Bank,State Bank of India,Transaction failed
TXN672470,2024-11-02,14:41:37,Beneficiary Not Found,Receiver UPI ID is not registered,2734.67,@user4227,@user6232,Bank of Baroda,HDFC Bank,Transaction failed
TXN672866,2024-02-01,12:27:57,Network Error,Connectivity issue during transaction,432.38,@user2713,@user7219,Kotak Mahindra Bank,ICICI Bank,Transaction pending - retry later
TXN332553,2024-03-28,22:57:01,Network Error,Connectivity issue during transaction,1023.14,@user6243,@user9905,SBI,Axis Bank,Transaction pending - retry later
TXN972961,2024-02-05,19:21:39,Insufficient Funds,Sender account balance is insufficient,4766.67,@user1229,@user4836,State Bank of India,Bank of Baroda,Transaction declined
TXN774262,2024-03-04,10:08:23,Transaction Timed Out,Transaction exceeded the time limit,4387.81,@user5857,@user2838,Axis Bank,Axis Bank,Transaction pending - retry later
TXN922296,2024-10-03,10:12:50,Beneficiary Not Found,Receiver UPI ID is not registered,3125.59,@user2391,@user2429,SBI,SBI,Transaction failed
TXN445057,2024-09-05,14:12:21,Network Error,Connectivity issue during transaction,896.46,@user3841,@user7360,ICICI Bank,State Bank of India,Transaction pending - retry later
TXN110265,2024-03-16,01:12:07,Beneficiary Not Found,Receiver UPI ID is not registered,3774.14,@user3583,@user6640,ICICI Bank,State Bank of India,Transaction failed
TXN875161,2024-02-22,02:02:52,Invalid UPI ID,Entered incorrect receiver UPI ID,3859.64,@user6976,@user4388,SBI,State Bank of India,Transaction failed
TXN942186,2024-11-24,18:32:42,Network Error,Connectivity issue during transaction,3377.66,@user2964,@user8849,Axis Bank,Axis Bank,Transaction pending - retry later
TXN911915,2024-09-17,06:08:08,Daily Limit Reached,Sender has exceeded daily transaction limit,3792.59,@user5845,@user7885,ICICI Bank,Axis Bank,Transaction declined - reduce amount or try next day
TXN277916,2024-01-15,01:28:13,Insufficient Funds,Sender account balance is insufficient,4635.33,@user9005,@user2058,SBI,Bank of Baroda,Transaction declined
TXN839368,2024-08-13,05:32:13,Transaction Timed Out,Transaction exceeded the time limit,3020.75,@user7197,@user9111,Bank of Baroda,Yes Bank,Transaction pending - retry later
TXN519264,2024-04-23,14:25:15,Transaction Timed Out,Transaction exceeded the time limit,999.97,@user4191,@user6479,Kotak Mahindra Bank,SBI,Transaction pending - retry later
TXN248348,2024-12-09,00:04:33,Insufficient Funds,Sender account balance is insufficient,1804.99,@user2630,@user1141,Bank of Baroda,Yes Bank,Transaction declined
TXN882535,2024-12-30,20:34:49,Network Error,Connectivity issue during transaction,4598.98,@user6401,@user7069,Bank of Baroda,HDFC Bank,Transaction pending - retry later
TXN431359,2024-02-24,07:20:43,Server Error,Technical issue on UPI server side,4371.95,@user1976,@user8538,Yes Bank,Yes Bank,Transaction on hold - contact bank
TXN610786,2024-10-17,22:33:39,Network Error,Connectivity issue during transaction,2540.47,@user3177,@user9096,Bank of Baroda,Kotak Mahindra Bank,Transaction pending - retry later
TXN808373,2024-11-13,12:40:08,Daily Limit Reached,Sender has exceeded daily transaction limit,1519.86,@user7467,@user3985,Axis Bank,SBI,Transaction declined - reduce amount or try next day
TXN670978,2024-08-13,02:49:33,Transaction Timed Out,Transaction exceeded the time limit,35.81,@user8817,@user1494,ICICI Bank,State Bank of India,Transaction pending - retry later
TXN707512,2024-02-07,09:50:12,Beneficiary Not Found,Receiver UPI ID is not registered,716.45,@user7858,@user7878,Kotak Mahindra Bank,HDFC Bank,Transaction failed
TXN198760,2024-03-04,16:40:34,Incorrect MPIN,Invalid MPIN entered by the sender,562.45,@user3493,@user2424,Yes Bank,Kotak Mahindra Bank,Transaction failed - incorrect MPIN
TXN903658,2024-03-02,00:03:38,Invalid UPI ID,Entered incorrect receiver UPI ID,4853.58,@user9829,@user8306,Yes Bank,SBI,Transaction failed
TXN265987,2024-09-26,00:39:38,Incorrect MPIN,Invalid MPIN entered by the sender,2256.89,@user9652,@user2859,State Bank of India,ICICI Bank,Transaction failed - incorrect MPIN
TXN101537,2024-04-12,07:57:03,Beneficiary Not Found,Receiver UPI ID is not registered,2632.88,@user8865,@user7711,SBI,HDFC Bank,Transaction failed
TXN729637,2024-08-04,12:18:31,Invalid UPI ID,Entered incorrect receiver UPI ID,3114.81,@user5670,@user3324,Axis Bank,HDFC Bank,Transaction failed
TXN478708,2024-01-06,18:07:12,Daily Limit Reached,Sender has exceeded daily transaction limit,3262.63,@user2023,@user4059,HDFC Bank,Axis Bank,Transaction declined - reduce amount or try next day
TXN843315,2024-10-03,09:36:27,Transaction Timed Out,Transaction exceeded the time limit,1176.66,@user4512,@user2437,State Bank of India,Yes Bank,Transaction pending - retry later
TXN123472,2024-01-27,18:50:52,Network Error,Connectivity issue during transaction,780.75,@user6932,@user5445,State Bank of India,Bank of Baroda,Transaction pending - retry later
TXN642999,2024-07-26,22:43:57,Insufficient Funds,Sender account balance is insufficient,3264.07,@user6272,@user7200,HDFC Bank,HDFC Bank,Transaction declined
TXN951633,2024-11-27,16:41:26,Incorrect MPIN,Invalid MPIN entered by the sender,536.3,@user1568,@user5206,Yes Bank,ICICI Bank,Transaction failed - incorrect MPIN
TXN269201,2024-10-02,13:21:44,Server Error,Technical issue on UPI server side,2706.62,@user2838,@user2617,HDFC Bank,Bank of Baroda,Transaction on hold - contact bank
TXN753589,2024-02-21,12:06:12,Network Error,Connectivity issue during transaction,4150.58,@user6668,@user9017,State Bank of India,Bank of Baroda,Transaction pending - retry later
TXN899440,2024-10-29,09:44:35,Server Error,Technical issue on UPI server side,3439.51,@user3725,@user9574,Kotak Mahindra Bank,SBI,Transaction on hold - contact bank
TXN677168,2024-04-11,00:06:26,Daily Limit Reached,Sender has exceeded daily transaction limit,3016.95,@user4956,@user4314,Yes Bank,ICICI Bank,Transaction declined - reduce amount or try next day
TXN437573,2024-10-02,14:11:27,Network Error,Connectivity issue during transaction,4488.27,@user8843,@user2150,Yes Bank,Axis Bank,Transaction pending - retry later
TXN803245,2024-06-13,04:24:55,Network Error,Connectivity issue during transaction,3738.1,@user8863,@user9756,ICICI Bank,Yes Bank,Transaction pending - retry later
TXN486692,2024-08-26,09:51:23,Invalid UPI ID,Entered incorrect receiver UPI ID,731.98,@user3128,@user5537,State Bank of India,Axis Bank,Transaction failed
TXN820673,2024-12-04,01:05:58,Server Error,Technical issue on UPI server side,953.12,@user8626,@user1779,Axis Bank,Yes Bank,Transaction on hold - contact bank
TXN510252,2024-10-22,03:55:38,Insufficient Funds,Sender account balance is insufficient,1826.88,@user3775,@user7397,Bank of Baroda,Axis Bank,Transaction declined
TXN796221,2024-11-24,03:44:13,Network Error,Connectivity issue during transaction,1722.63,@user3622,@user5317,HDFC Bank,Kotak Mahindra Bank,Transaction pending - retry later
TXN314824,2024-06-14,20:34:41,Beneficiary Not Found,Receiver UPI ID is not registered,3534.93,@user1629,@user7592,Bank of Baroda,Yes Bank,Transaction failed
TXN180189,2024-06-27,16:16:49,Daily Limit Reached,Sender has exceeded daily transaction limit,1708.37,@user2920,@user6032,ICICI Bank,Axis Bank,Transaction declined - reduce amount or try next day
TXN408587,2024-04-14,23:54:45,Transaction Timed Out,Transaction exceeded the time limit,1777.83,@user1571,@user1719,Yes Bank,Yes Bank,Transaction pending - retry later
TXN264860,2024-03-16,15:05:44,Server Error,Technical issue on UPI server side,534.36,@user3712,@user1798,SBI,Kotak Mahindra Bank,Transaction on hold - contact bank
TXN356589,2024-12-05,02:03:21,Network Error,Connectivity issue during transaction,3067.83,@user1515,@user2947,SBI,ICICI Bank,Transaction pending - retry later
TXN518362,2024-05-12,08:18:07,Insufficient Funds,Sender account balance is insufficient,3552.33,@user6513,@user2158,SBI,HDFC Bank,Transaction declined
